,Company,New Filing?,Reported funding,Incremental Cash ,Date,New or Amended
674,"AgriSmart Inc.  (Agriculture - Rockville, MD)",Yes,"$250,000","$250,000",2018-03-27,New Filing
675,"Willis Towers Watson Group Trust Long Credit Fund  (Pooled Investment Fund - Arlington, VA)",No,"$398,103,688",$0,2018-03-27,Amended
676,"Willis Towers Watson Group Trust Diversified Credit Fund  (Pooled Investment Fund - Arlington, VA)",No,"$223,059,196",$0,2018-03-27,Amended
677,"Willis Towers Watson Group Trust Global Equity Focus Fund  (Pooled Investment Fund - Arlington, VA)",Yes,"$29,980,000","$29,980,000",2018-03-27,New Filing
678,"Willis Towers Watson Group Trust Diversified Equity Fund  (Pooled Investment Fund - Arlington, VA)",Yes,"$71,540,000","$71,540,000",2018-03-27,New Filing
679,"Global Medical REIT L.P.  (REITS and Finance - Bethesda, MD)",Yes,"$5,500,000","$5,500,000",2018-03-27,New Filing
680,"Otomagnetics, Inc.  (Biotechnology - Rockville, MD)",Yes,"$1,029,014","$1,029,014",2018-03-27,New Filing
681,"Verte Capital, LLC  (Pooled Investment Fund - Brookeville, MD)",No,"$1,120,000",$0,2018-03-27,Amended
682,"OpCenter, Inc.  (Construction - Washington, DC)",Yes,"$370,000","$370,000",2018-03-26,New Filing
683,"RunSafe Security, Inc.  (Other Technology - Mclean, VA)",Yes,"$2,464,230","$2,464,230",2018-03-26,New Filing
684,"Fenway Summer Special Opportunities 2018 LLC  (Pooled Investment Fund - Bethesda, MD)",Yes,Yet to Sell,$0,2018-03-26,New Filing
685,"Localized, Inc.  (Other - Washington, DC)",No,"$55,000",$0,2018-03-26,Amended
686,"GTT Communications, Inc.  (Telecommunications - Mclean, VA)",Yes,"$3,861,898","$3,861,898",2018-03-23,New Filing
687,"Localized, Inc.  (Other - Washington, DC)",Yes,"$55,000","$55,000",2018-03-23,New Filing
688,"SANDS CAPITAL PRIVATE GROWTH FUND-HC3, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$933,517","$933,517",2018-03-22,New Filing
689,"SANDS CAPITAL PRIVATE GROWTH FUND II-UH, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$5,005,671","$5,005,671",2018-03-22,New Filing
690,"Luxury Properties & Interiors, LLC  (Residential - Silver Spring, MD)",No,Yet to Sell,$0,2018-03-20,Amended
691,"EJF Debt Opportunities Fund II, Ltd.  (Pooled Investment Fund - Arlington, VA)",No,"$88,400,000",$0,2018-03-19,Amended
692,"EJF Income Fund Offshore, Ltd.  (Pooled Investment Fund - Arlington, VA)",No,"$16,837,718","$500,000",2018-03-19,Amended
693,"EJF Income Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$89,762,359","$7,302,255",2018-03-19,Amended
694,"EJF Financial Services Offshore Fund, Ltd.  (Pooled Investment Fund - Arlington, VA)",No,"$111,694,534","$3,474,534",2018-03-19,Amended
695,"EJF Financial Services Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$409,471,900","$4,207,724",2018-03-19,Amended
696,"EJF Debt Opportunities Offshore Fund, Ltd.  (Pooled Investment Fund - Arlington, VA)",No,"$1,149,347,769","$73,913,000",2018-03-19,Amended
697,"EJF Debt Opportunities Master Fund II, LP  (Pooled Investment Fund - Arlington, VA)",No,"$342,061,000","$89,100,000",2018-03-19,Amended
698,"EJF Debt Opportunities Fund, L.P.  (Pooled Investment Fund - Arlington, VA)",No,"$935,018,071","$31,441,246",2018-03-19,Amended
699,"REGENERX BIOPHARMACEUTICALS INC  (Pharmaceuticals - Rockville, MD)",Yes,"$888,253","$888,253",2018-03-19,New Filing
700,"Studio :: J'han Co LLC  (Other - Falls Church, VA)",Yes,$100,$100,2018-03-16,New Filing
701,"DAI GEO US, Inc.  (Business Services - Bethesda, MD)",Yes,"$2,034,989","$2,034,989",2018-03-16,New Filing
702,"Edge Systems Technologies, LLC  (Other - Washington, DC)",Yes,"$167,552","$167,552",2018-03-15,New Filing
703,"BioInformatics, Inc.  (Other - Arlington, VA)",Yes,"$5,155,000","$5,155,000",2018-03-15,New Filing
704,"Viela Bio, Inc.  (Biotechnology - Gaithersburg, MD)",Yes,"$282,253,240","$282,253,240",2018-03-15,New Filing
705,"Willis Towers Watson Group Trust Long Credit Fund  (Pooled Investment Fund - Arlington, VA)",Yes,"$398,103,688","$398,103,688",2018-03-15,New Filing
706,"Willis Towers Watson Group Trust Diversified Credit Fund  (Pooled Investment Fund - Arlington, VA)",Yes,"$223,059,196","$223,059,196",2018-03-15,New Filing
707,"COFFEE CAN FUND LP  (Investing - Mclean, VA)",Yes,"$63,887,363","$63,887,363",2018-03-15,New Filing
708,"CFGI Eagle Parent, L.L.C.  (Other - Washington, DC)",Yes,"$73,016,535","$73,016,535",2018-03-14,New Filing
709,"RBJ RETIREMENT FUND LP  (Investing - Mclean, VA)",Yes,"$16,606,402","$16,606,402",2018-03-14,New Filing
710,"Juggernaut Capital Partners IV-B, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",Yes,Yet to Sell,$0,2018-03-14,New Filing
711,"Juggernaut Capital Partners IV-A, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",Yes,Yet to Sell,$0,2018-03-14,New Filing
712,"RBJ PARTNERS LP  (Investing - Mclean, VA)",Yes,"$98,613,489","$98,613,489",2018-03-14,New Filing
713,"SC1 Zip BP, LLC  (Other - Reston, VA)",Yes,"$2,279,250","$2,279,250",2018-03-14,New Filing
714,"Bella Holding Company, LLC  (Other Health Care - Washington, DC)",Yes,Yet to Sell,$0,2018-03-14,New Filing
715,"Cartica Investors, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$1,187,168,550",$0,2018-03-14,Amended
716,"Cartica Capital Partners (Cayman) Ltd.  (Pooled Investment Fund - Washington, DC)",No,"$949,809,247","$40,000,000",2018-03-14,Amended
717,"Carlyle Partners VII, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$15,574,930,000","$1,204,520,000",2018-03-14,Amended
718,"Motionsoft, Inc.  (Other Technology - Rockville, MD)",Yes,"$8,047,411","$8,047,411",2018-03-14,New Filing
719,"Harvey Drive Partnership LLC  (Other Real Estate - Washington, DC)",Yes,"$3,300,000","$3,300,000",2018-03-12,New Filing
720,"Health Views  (Tourism and Travel Services - Reston, VA)",Yes,"$2,060","$2,060",2018-03-12,New Filing
721,"Strategic Non-Core Emerging Markets Equity Trust  (Pooled Investment Fund - Arlington, VA)",Yes,"$205,266,906","$205,266,906",2018-03-12,New Filing
722,"Strategic Private Equity Fund V, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$313,275,000","$313,275,000",2018-03-12,New Filing
723,"Strategic Global Balanced Trust  (Pooled Investment Fund - Arlington, VA)",Yes,"$102,978,294","$102,978,294",2018-03-12,New Filing
724,"Strategic Global Balanced Institutional Trust I  (Pooled Investment Fund - Arlington, VA)",Yes,"$329,451,750","$329,451,750",2018-03-12,New Filing
725,"SIM HEDGED STRATEGIES TRUST  (Pooled Investment Fund - Arlington, VA)",Yes,"$67,864,390","$67,864,390",2018-03-12,New Filing
726,"Carr Properties Holdings L.P  (REITS and Finance - Washington, DC)",No,"$414,003,203","$72,359,474",2018-03-09,Amended
727,"Carr Properties Partnership L.P  (REITS and Finance - Washington, DC)",No,"$450,000,000","$75,000,000",2018-03-09,Amended
728,"Hybrid Portfolio I, Ltd.  (Pooled Investment Fund - Washington, DC)",No,"$250,000,000",$0,2018-03-09,Amended
729,"Carlyle Private Equity Access Fund IV, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-03-08,New Filing
730,"Strategic International Equity Trust  (Pooled Investment Fund - Arlington, VA)",Yes,"$422,018,729","$422,018,729",2018-03-08,New Filing
731,"Strategic US Equity Trust  (Pooled Investment Fund - Arlington, VA)",Yes,"$299,845,249","$299,845,249",2018-03-08,New Filing
732,"Strategic High Yield Trust  (Pooled Investment Fund - Arlington, VA)",Yes,"$188,031,598","$188,031,598",2018-03-08,New Filing
733,"Mills Value Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$4,806,635","$1,790,000",2018-03-08,Amended
734,"Mad River Long/Neutral Fund, L.P.  (Pooled Investment Fund - Arlington, VA)",No,"$14,133,557",$0,2018-03-08,Amended
735,"Strategic Global Balanced Institutional Trust II  (Pooled Investment Fund - Arlington, VA)",Yes,Yet to Sell,$0,2018-03-08,New Filing
736,"FOUNDRY FUND LLC  (Pooled Investment Fund - Arlington, VA)",Yes,$0,$0,2018-03-08,New Filing
737,"Hull Street Energy Partners I, L.P.  (Investing - Bethesda, MD)",Yes,"$150,000,000","$150,000,000",2018-03-08,New Filing
738,"WCP Triangle Park LLC  (Commercial - Mclean, VA)",Yes,"$1,090,000","$1,090,000",2018-03-08,New Filing
739,"DC Investments Efficient Fund, LLC  (Pooled Investment Fund - Vienna, VA)",No,"$177,386,776","$80,386,755",2018-03-08,Amended
740,"DC Investments Alpha Fund, LLC  (Pooled Investment Fund - Vienna, VA)",No,"$115,619,025","$38,654,013",2018-03-08,Amended
741,"RET Multi Strategy Fund, LLC  (Other Energy - Vienna, VA)",No,"$1,707,786","$311,463",2018-03-08,Amended
742,"Dean Ventures Multi Strategy Fund, L.P.  (Pooled Investment Fund - Vienna, VA)",No,"$11,731,736","$4,823,000",2018-03-08,Amended
743,"Dean Ventures II, LLC  (Pooled Investment Fund - Vienna, VA)",No,"$951,539,014","$85,107,270",2018-03-08,Amended
744,"Dean Capital Investments Micro, LLC  (Pooled Investment Fund - Vienna, VA)",No,"$148,042,789",$0,2018-03-08,Amended
745,"DC Energy Multi Strategy Fund, L.P.  (Other Energy - Vienna, VA)",No,"$15,464,161","$772,734",2018-03-08,Amended
746,"Airport Properties of America Fund I, LP  (Pooled Investment Fund - North Bethesda, MD)",Yes,"$25,025,000","$25,025,000",2018-03-08,New Filing
747,"Carlyle Realty Foreign Investors VIII-C, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$5,038,338,000","$920,600,000",2018-03-07,Amended
748,"Carlyle Realty Foreign Investors VIII-B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$5,038,338,000","$920,600,000",2018-03-07,Amended
749,"Carlyle Realty Foreign Investors VIII-A, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$5,038,338,000","$920,600,000",2018-03-07,Amended
750,"Carlyle Realty Partners VIII, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$5,038,338,000","$920,600,000",2018-03-07,Amended
751,"Two Six Labs Holdings, Inc.  (Other Technology - Arlington, VA)",Yes,"$636,000","$636,000",2018-03-07,New Filing
752,"ReveraGen BioPharma, Inc.  (Pharmaceuticals - Rockville, MD)",Yes,"$800,000","$800,000",2018-03-06,New Filing
753,"GRAIN INFRASTRUCTURE FUND II, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$262,600,000","$22,600,000",2018-03-06,Amended
754,"Curated Capital LLC  (Investing - Potomac, MD)",Yes,Yet to Sell,$0,2018-03-06,New Filing
755,"EIG-Emerson Energy Partners Co-Investment, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-03-05,New Filing
756,"PROOF Side, L.P.  (Pooled Investment Fund - Reston, VA)",Yes,Yet to Sell,$0,2018-03-05,New Filing
757,"Y & Q Investment Fund, L.P.  (Pooled Investment Fund - Mclean, VA)",No,"$130,494,967","$95,385,247",2018-03-05,Amended
758,"NMEP Co-Invest, L.P.  (Pooled Investment Fund - Fulton, MD)",Yes,Yet to Sell,$0,2018-03-02,New Filing
759,"Vision III Imaging, Inc.  (Other Technology - Reston, VA)",Yes,Yet to Sell,$0,2018-03-02,New Filing
760,"Cyberdeck Games LLC  (Other Technology - Bethesda, MD)",Yes,"$25,000","$25,000",2018-03-01,New Filing
761,"Nithio Holdings, Inc.  (Other - Washington, DC)",Yes,"$4,000,000","$4,000,000",2018-02-28,New Filing
762,"FOXKISER Ventures IV, LLC  (Biotechnology - Washington, DC)",No,"$1,025,000",$0,2018-02-28,Amended
763,"Precision Medicine Group Holdings, Inc.  (Other Health Care - Bethesda, MD)",Yes,"$30,035,783","$30,035,783",2018-02-28,New Filing
764,"Quiet C RPG Acquisition I LLC  (Pooled Investment Fund - Washington, DC)",Yes,"$6,000,000","$6,000,000",2018-02-27,New Filing
765,"TCG Zip, LLC  (Business Services - Washington, DC)",Yes,"$500,000","$500,000",2018-02-26,New Filing
766,"OUTLIER REALTY TRUST, INC.  (REITS and Finance - Bethesda, MD)",Yes,"$24,048","$24,048",2018-02-26,New Filing
767,"Venuetize, LLC  (Other Technology - Tampa, MD)",Yes,"$1,000,000","$1,000,000",2018-02-26,New Filing
768,"Babel Street, Inc.  (Other Technology - Reston, VA)",No,"$4,100,000","$1,850,000",2018-02-23,Amended
769,"Zachary Piper, LLC  (Business Services - Mclean, VA)",Yes,"$1,300,000","$1,300,000",2018-02-22,New Filing
770,"Accolade Partners VI-D, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$10,100,000","$10,100,000",2018-02-22,New Filing
771,"POWERUP TECHNOLOGY INC.  (Other Banking and Financial Services - Vienna, VA)",Yes,"$333,333","$333,333",2018-02-22,New Filing
772,"AZTLAN Emerging & Frontier Smidcap Fund, LP  (Pooled Investment Fund - Mclean, VA)",No,"$100,000","$100,000",2018-02-22,Amended
773,"Terra Group Title, LLC  (Commercial - Mclean, VA)",Yes,Yet to Sell,$0,2018-02-21,New Filing
774,"VITAL FINANCIAL 2012A, LLC  (Pooled Investment Fund - Bethesda, MD)",Yes,"$54,137","$54,137",2018-02-20,New Filing
775,"Franklin Street Partnership LLC  (Other Real Estate - Washington, DC)",Yes,Yet to Sell,$0,2018-02-16,New Filing
776,"HOMESNAP, INC.  (Residential - Rockville, MD)",Yes,"$14,002,385","$14,002,385",2018-02-16,New Filing
777,"HOMESNAP, INC.  (Residential - Rockville, MD)",No,"$7,000,000","$4,000,002",2018-02-16,Amended
778,"DP Common Miami II, LP  (Other - Washington, DC)",Yes,"$100,000","$100,000",2018-02-16,New Filing
779,"DP Common Miami I, LP  (Other - Washington, DC)",Yes,"$50,000","$50,000",2018-02-16,New Filing
780,"DP Miami I, LLC  (Other - Washington, DC)",Yes,"$135,000","$135,000",2018-02-16,New Filing
781,"Congressional Bancshares, Inc.  (Commercial Banking - Bethesda, MD)",Yes,"$7,500,000","$7,500,000",2018-02-16,New Filing
782,"Stardog Union  (Other Technology - Arlington, VA)",No,"$9,116,994","$3,064,999",2018-02-15,Amended
783,"Mytonomy, Inc.  (Other Technology - Bethesda, MD)",No,"$7,197,723","$2,001,972",2018-02-14,Amended
784,"OUTLIER REALTY TRUST, INC.  (REITS and Finance - Bethesda, MD)",No,"$2,972,500","$50,000",2018-02-14,Amended
785,"CER Italian Logistics Feeder, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-02-14,New Filing
786,"Quad Learning, Inc.  (Other - Washington, DC)",Yes,"$4,796,908","$4,796,908",2018-02-13,New Filing
787,"BRBW LLC  (Other - Woodbrige, VA)",Yes,Yet to Sell,$0,2018-02-12,New Filing
788,"BRBW LLC  (Other - Woodbrige, VA)",Yes,Yet to Sell,$0,2018-02-12,New Filing
789,"Current Yield With Participation Fund IV, LLC  (Pooled Investment Fund - Potomac, MD)",Yes,"$12,300,000","$12,300,000",2018-02-12,New Filing
790,"Reverse Ionizer, LLC  (Other Technology - Herndon, VA)",Yes,"$1,208,417","$1,208,417",2018-02-12,New Filing
791,"Lightyear Acquisition Company, LLC  (Other - Reston, VA)",Yes,"$4,000,002","$4,000,002",2018-02-12,New Filing
792,"Carlyle Eagle Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-02-09,New Filing
793,"CGFSP III Eagle Coinvestment Holdings, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-02-09,New Filing
794,"TMG TMC 1 & 2 REIT, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2018-02-08,New Filing
795,"TMG TMC 4 REIT, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2018-02-08,New Filing
796,"TMG TMC 3 REIT, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2018-02-08,New Filing
797,"TMG 1901 L Street REIT, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2018-02-08,New Filing
798,"McLean Ambulatory Surgery, LLC  (Hospitals and Physicians - Mclean, VA)",Yes,"$1,625,000","$1,625,000",2018-02-07,New Filing
799,"Spark Community Investment Co  (Other Banking and Financial Services - Washington, DC)",Yes,"$6,876,320","$6,876,320",2018-02-07,New Filing
800,"AMY - MARY, LLC  (Other - Bethesda, MD)",Yes,"$1,200,000","$1,200,000",2018-02-07,New Filing
801,"Lynx Real Asset & Water Fund LLC  (Pooled Investment Fund - Washington, DC)",No,"$15,327,721",$0,2018-02-07,Amended
802,"Carlyle Partners VII, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$14,370,410,000","$1,233,450,000",2018-02-07,Amended
803,"GT Biopharma, Inc.  (Biotechnology - Tampa, DC)",Yes,"$7,055,000","$7,055,000",2018-02-06,New Filing
804,"Artemis Real Estate Partners Healthcare Fund I, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",No,"$449,955,000","$161,580,000",2018-02-06,Amended
805,"Shoals Financials Opportunity Fund, LP  (Pooled Investment Fund - Arlington, VA)",Yes,"$10,275,000","$10,275,000",2018-02-06,New Filing
806,"CrossLink Tax Holdings, LLC  (Other - Reston, VA)",Yes,"$33,000,000","$33,000,000",2018-02-06,New Filing
807,"MEPT Sixth & Lenora Apartments Member LLC  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2018-02-05,New Filing
808,"MEPT Diridon Station Member LLC  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2018-02-05,New Filing
809,"MEPT Block 6 LLC  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2018-02-05,New Filing
810,"MEPT 360 W. Hubbard Member LLC  (REITS and Finance - Bethesda, MD)",Yes,"$125,000","$125,000",2018-02-05,New Filing
811,"ARBORVIEW CAPITAL PARTNERS II LP  (Pooled Investment Fund - Chevy Chase, MD)",Yes,Yet to Sell,$0,2018-02-05,New Filing
812,"GoodSeeker, Inc  (Other Technology - Mclean, VA)",Yes,"$1,249,864","$1,249,864",2018-02-02,New Filing
813,"TCG Vulcan Holdings, LLC  (Business Services - Washington, DC)",No,"$23,275,000",$0,2018-02-02,Amended
814,"Lemongrass Holdings, Inc.  (Other - Alexandria, VA)",Yes,"$12,000,000","$12,000,000",2018-02-02,New Filing
815,"Monsoon India Dynamic Alpha Fund, L.P.  (Pooled Investment Fund - Bethesda, MD)",No,"$15,575,200","$12,875,200",2018-02-02,Amended
816,"Maryland Avenue Venture LLC  (Other Real Estate - Washington, DC)",Yes,"$1,185,000","$1,185,000",2018-02-01,New Filing
817,"StreetShares, Inc.  (Other Banking and Financial Services - Reston, VA)",Yes,"$23,398,397","$23,398,397",2018-02-01,New Filing
818,"NexImmune, Inc.  (Biotechnology - Gaithersburg, MD)",Yes,"$21,730,000","$21,730,000",2018-02-01,New Filing
819,"ULTRATA, LLC  (Other Technology - Vienna, VA)",Yes,"$1,725,000","$1,725,000",2018-01-31,New Filing
820,"COMSCORE, INC.  (Business Services - Reston, VA)",Yes,"$150,000,000","$150,000,000",2018-01-31,New Filing
821,"MicroVest Plus, LP (Fixed Rate Notes)  (Pooled Investment Fund - Bethesda, MD)",No,"$30,074,330","$4,389,330",2018-01-31,Amended
822,"MicroVest Short Duration Fund, LP  (Pooled Investment Fund - Bethesda, MD)",No,"$194,565,205","$18,349,708",2018-01-31,Amended
823,"MicroVest EDF LP  (Pooled Investment Fund - Bethesda, MD)",No,"$12,309,402","$3,000,000",2018-01-31,Amended
824,"Real Estate Operations, Inc.  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2018-01-31,New Filing
825,"Flour Mill Fund, Ltd.  (Pooled Investment Fund - Washington, DC)",No,"$20,000,000",$0,2018-01-30,Amended
826,"Digital Global Systems, Inc.  (Other Technology - Beltsville, MD)",Yes,"$3,500,000","$3,500,000",2018-01-30,New Filing
827,"Walker Reynolds Lodging Partners, LLC  (Pooled Investment Fund - Centennial, DC)",Yes,"$16,500,000","$16,500,000",2018-01-30,New Filing
828,"WCP Campus East LLC  (Commercial - Mclean, VA)",Yes,"$1,105,000","$1,105,000",2018-01-29,New Filing
829,"Snag Holdings, Inc.  (Other - Arlington, VA)",Yes,"$11,004,171","$11,004,171",2018-01-29,New Filing
830,"CareSave Technologies, Inc.  (Other Health Care - Mclean, VA)",Yes,"$10,999,314","$10,999,314",2018-01-29,New Filing
831,"Guanacaste Brewing LLC  (Other - Lorton, VA)",Yes,"$410,000","$410,000",2018-01-29,New Filing
832,"UIP Onyx Invest, LLC  (Other Real Estate - Washington, DC)",Yes,"$3,825,000","$3,825,000",2018-01-26,New Filing
833,"Harmonia Hopkins Ithaca LLC  (Commercial - Silver Spring, MD)",Yes,"$3,700,000","$3,700,000",2018-01-25,New Filing
834,"HH UC Riverside LLC  (Commercial - Silver Spring, MD)",Yes,"$15,000,000","$15,000,000",2018-01-25,New Filing
835,"Arcadia Power, Inc.  (Other Energy - Washington, DC)",Yes,"$5,500,000","$5,500,000",2018-01-25,New Filing
836,"Harmonia Hopkins Varsity LLC  (Commercial - Silver Spring, MD)",Yes,"$8,500,000","$8,500,000",2018-01-25,New Filing
837,"Cross Screen Media, LLC  (Other Technology - Alexandria, VA)",Yes,"$1,975,000","$1,975,000",2018-01-24,New Filing
838,"Passport Parent Corp  (Other - Washington, DC)",Yes,"$10,991,940","$10,991,940",2018-01-24,New Filing
839,"Carlyle Realty Partners VIII REIT, L.L.C.  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2018-01-24,New Filing
840,"City State Entertainment, LLC  (Other Technology - Fairfax, VA)",Yes,"$3,750,000","$3,750,000",2018-01-24,New Filing
841,"SOLOMON HESS SBA LOAN FUND LLC  (Pooled Investment Fund - Falls Church, VA)",No,"$364,232,916","$70,982,916",2018-01-23,Amended
842,"RCP-SSI, LLC  (Investing - Bethesda, MD)",Yes,"$20,500,000","$20,500,000",2018-01-22,New Filing
843,"MDR Precision Fund, LP  (Pooled Investment Fund - Bethesda, MD)",No,"$3,520,512","$10,000",2018-01-19,Amended
844,"Carlyle Global Infrastructure Opportunity Fund, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$756,090,000","$756,090,000",2018-01-19,Amended
845,"FHL HEALTHCARE FUND, LP  (Pooled Investment Fund - Rockville, MD)",Yes,Yet to Sell,$0,2018-01-18,New Filing
846,"Neuron Connect, Inc.  (Computers - Rockville, MD)",Yes,"$47,500","$47,500",2018-01-17,New Filing
847,"BEACON ROOFING SUPPLY INC  (Other - Herndon, VA)",Yes,"$400,000,000","$400,000,000",2018-01-12,New Filing
848,"DISTRICT DISTILLING COMPANY, INC.  (Manufacturing - Washington, DC)",Yes,"$150,000","$150,000",2018-01-12,New Filing
849,"BMC Holdings, L.P.  (Other - Washington, DC)",Yes,"$3,759,906","$3,759,906",2018-01-12,New Filing
850,"GTT Communications, Inc.  (Telecommunications - Mclean, VA)",Yes,"$2,061,065","$2,061,065",2018-01-12,New Filing
851,"Carlyle Global Infrastructure Opportunity Fund Access, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$146,830,000","$146,830,000",2018-01-12,New Filing
852,"Niagara Gold & Silver  (Retailing - Alexandria, VA)",Yes,"$10,000","$10,000",2018-01-12,New Filing
853,"DigiCorEW, LP  (Pooled Investment Fund - Washington, D.C., DC)",No,Yet to Sell,$0,2018-01-11,Amended
854,"DigiCor90, LP  (Pooled Investment Fund - Washington, D.C., DC)",No,Yet to Sell,$0,2018-01-11,Amended
855,"CERF Co-Investment, S.C.Sp.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-01-10,New Filing
856,"Pactolus/G4 Capital Partners Fund III Series of the Pactolus Series Fund LLC  (Pooled Investment Fund - Mclean, VA)",Yes,"$21,865,000","$21,865,000",2018-01-10,New Filing
857,"DigiCorEW, LP  (Pooled Investment Fund - Washington, D.C., DC)",Yes,Yet to Sell,$0,2018-01-10,New Filing
858,"DigiCor90, LP  (Pooled Investment Fund - Washington, D.C., DC)",Yes,Yet to Sell,$0,2018-01-10,New Filing
859,"FCG1 P, LLC, a Series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$587,100","$587,100",2018-01-10,New Filing
860,"NORTHWEST BIOTHERAPEUTICS INC  (Biotechnology - Bethesda, MD)",Yes,"$880,000","$880,000",2018-01-10,New Filing
861,"HH Blake GA LLC  (Commercial - Silver Spring, MD)",Yes,"$2,500,000","$2,500,000",2018-01-10,New Filing
862,"Accolade Partners A, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$6,640,000","$6,640,000",2018-01-10,New Filing
863,"Accolade Partners VI-C, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$17,887,500","$17,887,500",2018-01-10,New Filing
864,"Accolade Partners VI-B, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$21,153,000","$21,153,000",2018-01-10,New Filing
865,"Accolade Partners VI-A, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$5,100,000","$5,100,000",2018-01-10,New Filing
866,"Bella Holding Company, LLC  (Other Health Care - Washington, DC)",Yes,"$690,641,432","$690,641,432",2018-01-09,New Filing
867,"SANDS CAPITAL PRIVATE GROWTH FUND II-BLBK, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$2,585,051","$2,585,051",2018-01-09,New Filing
868,"Succotash F Street, LLC  (Restaurants - Washington, DC)",Yes,Yet to Sell,$0,2018-01-09,New Filing
869,"TZG North 38 LLC  (Other - North Bethesda, MD)",Yes,Yet to Sell,$0,2018-01-09,New Filing
870,"Core Capital TB SPV, L.P.  (Pooled Investment Fund - Washington, D.C., DC)",Yes,"$15,400,000","$15,400,000",2018-01-08,New Filing
871,"CHAIN BRIDGE BANCORP INC  (Commercial Banking - Mclean, VA)",Yes,"$6,600,000","$6,600,000",2018-01-08,New Filing
872,"Solomon Hess Opportunity Fund LLC  (Pooled Investment Fund - Falls Church, VA)",No,"$12,632,376","$2,286,500",2018-01-08,Amended
873,"Carlyle China Rome Logistics, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2018-01-05,New Filing
874,"Net Health Parent Holdings, L.P.  (Other Health Care - Washington, DC)",Yes,"$8,645,870","$8,645,870",2018-01-05,New Filing
875,"Symphonic Opportunities Fund, LP  (Pooled Investment Fund - Arlington, VA)",Yes,"$6,950,000","$6,950,000",2018-01-05,New Filing
876,"Avalon Cyber Corp.  (Other Technology - Alexandria, VA)",Yes,"$364,865","$364,865",2018-01-04,New Filing
877,"Carlyle Partners VII, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$13,136,960,000","$13,136,960,000",2018-01-04,Amended
878,"SineWave Ventures Direct 4. L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$1,105,000","$1,105,000",2018-01-04,New Filing
879,"SNAGFILMS, INC.  (Other - Washington, DC)",Yes,"$4,000,000","$4,000,000",2018-01-04,New Filing
880,"Carr Properties Partnership L.P  (REITS and Finance - Washington, DC)",Yes,"$127,742,272","$127,742,272",2018-01-04,New Filing
881,"Carr Properties Holdings L.P  (REITS and Finance - Washington, DC)",Yes,"$172,257,728","$172,257,728",2018-01-04,New Filing
882,"ASTRA PARTNERS-LOGIX CO-INVEST I, LLC  (Pooled Investment Fund - Washington, DC)",Yes,"$11,440,000","$11,440,000",2018-01-04,New Filing
